id,label,facial_expression
Camila Cabello_84.jpg,Camila Cabello,happy
Ellen Degeneres_22.jpg,Ellen Degeneres,happy
Dwayne Johnson_17.jpg,Dwayne Johnson,happy
Claire Holt_0.jpg,Claire Holt,happy
Amitabh Bachchan_64.jpg,Amitabh Bachchan,fear
Henry Cavill_83.jpg,Henry Cavill,happy
Anushka Sharma_27.jpg,Anushka Sharma,happy
Hrithik Roshan_14.jpg,Hrithik Roshan,fear
Priyanka Chopra_43.jpg,Priyanka Chopra,angry
Hrithik Roshan_100.jpg,Hrithik Roshan,sad
Courtney Cox_78.jpg,Courtney Cox,happy
Amitabh Bachchan_31.jpg,Amitabh Bachchan,neutral
Alexandra Daddario_27.jpg,Alexandra Daddario,fear
Henry Cavill_77.jpg,Henry Cavill,happy
Tom Cruise_11.jpg,Tom Cruise,happy
Amitabh Bachchan_25.jpg,Amitabh Bachchan,neutral
Courtney Cox_56.jpg,Courtney Cox,happy
Andy Samberg_35.jpg,Andy Samberg,neutral
Alia Bhatt_50.jpg,Alia Bhatt,neutral
Brad Pitt_115.jpg,Brad Pitt,happy
Henry Cavill_21.jpg,Henry Cavill,angry
Roger Federer_16.jpg,Roger Federer,happy
Camila Cabello_70.jpg,Camila Cabello,happy
Hrithik Roshan_80.jpg,Hrithik Roshan,neutral
Roger Federer_76.jpg,Roger Federer,happy
Virat Kohli_7.jpg,Virat Kohli,sad
Dwayne Johnson_27.jpg,Dwayne Johnson,happy
Claire Holt_56.jpg,Claire Holt,neutral
Brad Pitt_95.jpg,Brad Pitt,happy
Billie Eilish_57.jpg,Billie Eilish,happy
Akshay Kumar_48.jpg,Akshay Kumar,happy
Claire Holt_54.jpg,Claire Holt,happy
Brad Pitt_32.jpg,Brad Pitt,happy
Zac Efron_38.jpg,Zac Efron,happy
Charlize Theron_43.jpg,Charlize Theron,happy
Henry Cavill_9.jpg,Henry Cavill,happy
Hrithik Roshan_91.jpg,Hrithik Roshan,neutral
Brad Pitt_82.jpg,Brad Pitt,happy
Zac Efron_87.jpg,Zac Efron,neutral
Priyanka Chopra_81.jpg,Priyanka Chopra,happy
Hrithik Roshan_99.jpg,Hrithik Roshan,neutral
Hrithik Roshan_66.jpg,Hrithik Roshan,neutral
Lisa Kudrow_43.jpg,Lisa Kudrow,happy
Zac Efron_55.jpg,Zac Efron,happy
Zac Efron_11.jpg,Zac Efron,happy
Vijay Deverakonda_59.jpg,Vijay Deverakonda,happy
Priyanka Chopra_98.jpg,Priyanka Chopra,happy
Jessica Alba_21.jpg,Jessica Alba,happy
Natalie Portman_6.jpg,Natalie Portman,neutral
Tom Cruise_18.jpg,Tom Cruise,happy
Zac Efron_12.jpg,Zac Efron,neutral
Andy Samberg_11.jpg,Andy Samberg,happy
Hrithik Roshan_73.jpg,Hrithik Roshan,neutral
Ellen Degeneres_48.jpg,Ellen Degeneres,happy
Margot Robbie_45.jpg,Margot Robbie,happy
Billie Eilish_79.jpg,Billie Eilish,sad
Roger Federer_24.jpg,Roger Federer,neutral
Robert Downey Jr_105.jpg,Robert Downey Jr,happy
Jessica Alba_72.jpg,Jessica Alba,happy
Henry Cavill_95.jpg,Henry Cavill,sad
Roger Federer_53.jpg,Roger Federer,sad
Alia Bhatt_39.jpg,Alia Bhatt,neutral
Brad Pitt_97.jpg,Brad Pitt,neutral
Amitabh Bachchan_2.jpg,Amitabh Bachchan,fear
Billie Eilish_17.jpg,Billie Eilish,neutral
Charlize Theron_32.jpg,Charlize Theron,neutral
Brad Pitt_3.jpg,Brad Pitt,happy
Priyanka Chopra_55.jpg,Priyanka Chopra,neutral
Elizabeth Olsen_52.jpg,Elizabeth Olsen,happy
Brad Pitt_108.jpg,Brad Pitt,happy
Amitabh Bachchan_70.jpg,Amitabh Bachchan,neutral
Robert Downey Jr_59.jpg,Robert Downey Jr,sad
Natalie Portman_58.jpg,Natalie Portman,neutral
Claire Holt_34.jpg,Claire Holt,happy
Billie Eilish_7.jpg,Billie Eilish,neutral
Brad Pitt_34.jpg,Brad Pitt,happy
Marmik_26.jpg,Marmik,happy
Alia Bhatt_58.jpg,Alia Bhatt,happy
Charlize Theron_51.jpg,Charlize Theron,neutral
Lisa Kudrow_56.jpg,Lisa Kudrow,happy
Courtney Cox_47.jpg,Courtney Cox,happy
Priyanka Chopra_23.jpg,Priyanka Chopra,sad
Andy Samberg_62.jpg,Andy Samberg,fear
Alexandra Daddario_48.jpg,Alexandra Daddario,neutral
Natalie Portman_60.jpg,Natalie Portman,happy
Claire Holt_40.jpg,Claire Holt,neutral
Billie Eilish_9.jpg,Billie Eilish,happy
Alia Bhatt_71.jpg,Alia Bhatt,neutral
Alexandra Daddario_85.jpg,Alexandra Daddario,happy
Vijay Deverakonda_27.jpg,Vijay Deverakonda,neutral
Charlize Theron_1.jpg,Charlize Theron,happy
Andy Samberg_1.jpg,Andy Samberg,happy
Vijay Deverakonda_41.jpg,Vijay Deverakonda,sad
Alia Bhatt_37.jpg,Alia Bhatt,neutral
Hrithik Roshan_86.jpg,Hrithik Roshan,neutral
Hugh Jackman_86.jpg,Hugh Jackman,happy
Roger Federer_56.jpg,Roger Federer,fear
Brad Pitt_62.jpg,Brad Pitt,angry
Hrithik Roshan_62.jpg,Hrithik Roshan,happy
Lisa Kudrow_3.jpg,Lisa Kudrow,happy
Tom Cruise_19.jpg,Tom Cruise,happy
Ellen Degeneres_13.jpg,Ellen Degeneres,happy
Ellen Degeneres_38.jpg,Ellen Degeneres,happy
Priyanka Chopra_76.jpg,Priyanka Chopra,happy
Alia Bhatt_34.jpg,Alia Bhatt,neutral
Charlize Theron_71.jpg,Charlize Theron,neutral
Henry Cavill_49.jpg,Henry Cavill,neutral
Alia Bhatt_70.jpg,Alia Bhatt,neutral
Robert Downey Jr_11.jpg,Robert Downey Jr,happy
Lisa Kudrow_67.jpg,Lisa Kudrow,happy
Hrithik Roshan_53.jpg,Hrithik Roshan,neutral
Natalie Portman_102.jpg,Natalie Portman,happy
Natalie Portman_44.jpg,Natalie Portman,happy
Ellen Degeneres_50.jpg,Ellen Degeneres,happy
Robert Downey Jr_27.jpg,Robert Downey Jr,neutral
Courtney Cox_67.jpg,Courtney Cox,neutral
Jessica Alba_41.jpg,Jessica Alba,neutral
Vijay Deverakonda_29.jpg,Vijay Deverakonda,happy
Billie Eilish_48.jpg,Billie Eilish,neutral
Amitabh Bachchan_43.jpg,Amitabh Bachchan,angry
Virat Kohli_5.jpg,Virat Kohli,happy
Margot Robbie_28.jpg,Margot Robbie,happy
Roger Federer_14.jpg,Roger Federer,neutral
Camila Cabello_83.jpg,Camila Cabello,happy
Hugh Jackman_74.jpg,Hugh Jackman,happy
Alia Bhatt_32.jpg,Alia Bhatt,happy
Jessica Alba_70.jpg,Jessica Alba,happy
Robert Downey Jr_64.jpg,Robert Downey Jr,neutral
Courtney Cox_72.jpg,Courtney Cox,neutral
Vijay Deverakonda_53.jpg,Vijay Deverakonda,angry
Robert Downey Jr_45.jpg,Robert Downey Jr,sad
Camila Cabello_13.jpg,Camila Cabello,happy
Courtney Cox_73.jpg,Courtney Cox,happy
Roger Federer_1.jpg,Roger Federer,sad
Margot Robbie_26.jpg,Margot Robbie,neutral
Ellen Degeneres_68.jpg,Ellen Degeneres,happy
Ellen Degeneres_11.jpg,Ellen Degeneres,happy
Elizabeth Olsen_44.jpg,Elizabeth Olsen,happy
Vijay Deverakonda_38.jpg,Vijay Deverakonda,happy
Alexandra Daddario_64.jpg,Alexandra Daddario,neutral
Margot Robbie_34.jpg,Margot Robbie,neutral
Margot Robbie_23.jpg,Margot Robbie,happy
Zac Efron_20.jpg,Zac Efron,happy
Natalie Portman_22.jpg,Natalie Portman,happy
Priyanka Chopra_21.jpg,Priyanka Chopra,happy
Margot Robbie_21.jpg,Margot Robbie,happy
Camila Cabello_33.jpg,Camila Cabello,sad
Claire Holt_1.jpg,Claire Holt,neutral
Charlize Theron_33.jpg,Charlize Theron,happy
Jessica Alba_80.jpg,Jessica Alba,happy
Hrithik Roshan_77.jpg,Hrithik Roshan,angry
Elizabeth Olsen_65.jpg,Elizabeth Olsen,happy
Zac Efron_59.jpg,Zac Efron,neutral
Anushka Sharma_52.jpg,Anushka Sharma,happy
Camila Cabello_29.jpg,Camila Cabello,happy
Zac Efron_86.jpg,Zac Efron,neutral
Tom Cruise_31.jpg,Tom Cruise,neutral
Vijay Deverakonda_55.jpg,Vijay Deverakonda,happy
Alia Bhatt_72.jpg,Alia Bhatt,happy
Priyanka Chopra_13.jpg,Priyanka Chopra,happy
Hrithik Roshan_37.jpg,Hrithik Roshan,happy
Lisa Kudrow_7.jpg,Lisa Kudrow,happy
Camila Cabello_58.jpg,Camila Cabello,sad
Zac Efron_33.jpg,Zac Efron,happy
Vijay Deverakonda_101.jpg,Vijay Deverakonda,neutral
Jessica Alba_2.jpg,Jessica Alba,neutral
Hugh Jackman_98.jpg,Hugh Jackman,happy
Anushka Sharma_53.jpg,Anushka Sharma,neutral
Hugh Jackman_31.jpg,Hugh Jackman,happy
Robert Downey Jr_51.jpg,Robert Downey Jr,neutral
Alia Bhatt_78.jpg,Alia Bhatt,happy
Jessica Alba_12.jpg,Jessica Alba,sad
Henry Cavill_90.jpg,Henry Cavill,surprise
Ellen Degeneres_30.jpg,Ellen Degeneres,happy
Vijay Deverakonda_96.jpg,Vijay Deverakonda,happy
Brad Pitt_52.jpg,Brad Pitt,neutral
Ellen Degeneres_0.jpg,Ellen Degeneres,happy
Courtney Cox_5.jpg,Courtney Cox,happy
Camila Cabello_15.jpg,Camila Cabello,neutral
Priyanka Chopra_91.jpg,Priyanka Chopra,neutral
Hrithik Roshan_90.jpg,Hrithik Roshan,sad
Tom Cruise_15.jpg,Tom Cruise,happy
Robert Downey Jr_0.jpg,Robert Downey Jr,neutral
Natalie Portman_81.jpg,Natalie Portman,happy
Elizabeth Olsen_29.jpg,Elizabeth Olsen,neutral
Virat Kohli_14.jpg,Virat Kohli,neutral
Charlize Theron_13.jpg,Charlize Theron,neutral
Anushka Sharma_40.jpg,Anushka Sharma,happy
Marmik_20.jpg,Marmik,sad
Courtney Cox_68.jpg,Courtney Cox,happy
Tom Cruise_17.jpg,Tom Cruise,happy
Andy Samberg_32.jpg,Andy Samberg,neutral
Amitabh Bachchan_39.jpg,Amitabh Bachchan,fear
Priyanka Chopra_2.jpg,Priyanka Chopra,sad
Hugh Jackman_4.jpg,Hugh Jackman,happy
Vijay Deverakonda_97.jpg,Vijay Deverakonda,neutral
Alexandra Daddario_1.jpg,Alexandra Daddario,neutral
Tom Cruise_40.jpg,Tom Cruise,happy
Robert Downey Jr_50.jpg,Robert Downey Jr,angry
Jessica Alba_67.jpg,Jessica Alba,neutral
Zac Efron_15.jpg,Zac Efron,neutral
Roger Federer_67.jpg,Roger Federer,happy
Alexandra Daddario_50.jpg,Alexandra Daddario,angry
Amitabh Bachchan_36.jpg,Amitabh Bachchan,fear
Priyanka Chopra_75.jpg,Priyanka Chopra,happy
Hugh Jackman_65.jpg,Hugh Jackman,happy
Brad Pitt_43.jpg,Brad Pitt,happy
Margot Robbie_49.jpg,Margot Robbie,neutral
Courtney Cox_36.jpg,Courtney Cox,happy
Natalie Portman_57.jpg,Natalie Portman,fear
Margot Robbie_16.jpg,Margot Robbie,happy
Anushka Sharma_50.jpg,Anushka Sharma,happy
Dwayne Johnson_46.jpg,Dwayne Johnson,neutral
Claire Holt_93.jpg,Claire Holt,neutral
Tom Cruise_51.jpg,Tom Cruise,happy
Jessica Alba_38.jpg,Jessica Alba,happy
Henry Cavill_38.jpg,Henry Cavill,happy
Roger Federer_20.jpg,Roger Federer,neutral
Billie Eilish_31.jpg,Billie Eilish,fear
Roger Federer_35.jpg,Roger Federer,angry
Anushka Sharma_66.jpg,Anushka Sharma,happy
Robert Downey Jr_83.jpg,Robert Downey Jr,happy
Hugh Jackman_66.jpg,Hugh Jackman,happy
Anushka Sharma_6.jpg,Anushka Sharma,neutral
Charlize Theron_2.jpg,Charlize Theron,happy
Akshay Kumar_36.jpg,Akshay Kumar,angry
Jessica Alba_69.jpg,Jessica Alba,happy
Claire Holt_15.jpg,Claire Holt,neutral
Hrithik Roshan_33.jpg,Hrithik Roshan,neutral
Vijay Deverakonda_79.jpg,Vijay Deverakonda,neutral
Claire Holt_68.jpg,Claire Holt,happy
Jessica Alba_96.jpg,Jessica Alba,neutral
Billie Eilish_14.jpg,Billie Eilish,neutral
Ellen Degeneres_64.jpg,Ellen Degeneres,happy
Camila Cabello_66.jpg,Camila Cabello,sad
Kashyap_25.jpg,Kashyap,neutral
Billie Eilish_58.jpg,Billie Eilish,happy
Vijay Deverakonda_30.jpg,Vijay Deverakonda,happy
Amitabh Bachchan_23.jpg,Amitabh Bachchan,fear
Alexandra Daddario_62.jpg,Alexandra Daddario,sad
Margot Robbie_62.jpg,Margot Robbie,happy
Hugh Jackman_75.jpg,Hugh Jackman,happy
Anushka Sharma_39.jpg,Anushka Sharma,neutral
Hugh Jackman_95.jpg,Hugh Jackman,happy
Amitabh Bachchan_37.jpg,Amitabh Bachchan,happy
Zac Efron_64.jpg,Zac Efron,happy
Roger Federer_10.jpg,Roger Federer,neutral
Vijay Deverakonda_42.jpg,Vijay Deverakonda,happy
Priyanka Chopra_11.jpg,Priyanka Chopra,happy
Brad Pitt_78.jpg,Brad Pitt,neutral
Zac Efron_18.jpg,Zac Efron,neutral
Anushka Sharma_14.jpg,Anushka Sharma,happy
Vijay Deverakonda_15.jpg,Vijay Deverakonda,happy
Zac Efron_39.jpg,Zac Efron,happy
Billie Eilish_75.jpg,Billie Eilish,happy
Ellen Degeneres_57.jpg,Ellen Degeneres,happy
Ellen Degeneres_33.jpg,Ellen Degeneres,happy
Henry Cavill_87.jpg,Henry Cavill,neutral
Zac Efron_50.jpg,Zac Efron,happy
Andy Samberg_3.jpg,Andy Samberg,happy
Brad Pitt_76.jpg,Brad Pitt,happy
Lisa Kudrow_11.jpg,Lisa Kudrow,happy
Anushka Sharma_0.jpg,Anushka Sharma,happy
Ellen Degeneres_58.jpg,Ellen Degeneres,happy
Claire Holt_89.jpg,Claire Holt,neutral
Hrithik Roshan_7.jpg,Hrithik Roshan,happy
Henry Cavill_39.jpg,Henry Cavill,neutral
Margot Robbie_32.jpg,Margot Robbie,happy
Roger Federer_45.jpg,Roger Federer,neutral
Hugh Jackman_14.jpg,Hugh Jackman,happy
Alexandra Daddario_54.jpg,Alexandra Daddario,happy
Anushka Sharma_3.jpg,Anushka Sharma,happy
Dwayne Johnson_54.jpg,Dwayne Johnson,sad
Amitabh Bachchan_45.jpg,Amitabh Bachchan,neutral
Virat Kohli_13.jpg,Virat Kohli,neutral
Robert Downey Jr_16.jpg,Robert Downey Jr,happy
Robert Downey Jr_31.jpg,Robert Downey Jr,neutral
Priyanka Chopra_92.jpg,Priyanka Chopra,happy
Alia Bhatt_42.jpg,Alia Bhatt,happy
Robert Downey Jr_13.jpg,Robert Downey Jr,sad
Brad Pitt_16.jpg,Brad Pitt,happy
Margot Robbie_36.jpg,Margot Robbie,neutral
Ellen Degeneres_52.jpg,Ellen Degeneres,happy
Roger Federer_50.jpg,Roger Federer,neutral
Brad Pitt_17.jpg,Brad Pitt,disgust
Brad Pitt_45.jpg,Brad Pitt,happy
Hrithik Roshan_39.jpg,Hrithik Roshan,happy
Amitabh Bachchan_72.jpg,Amitabh Bachchan,neutral
Alexandra Daddario_91.jpg,Alexandra Daddario,neutral
Lisa Kudrow_66.jpg,Lisa Kudrow,happy
Elizabeth Olsen_11.jpg,Elizabeth Olsen,neutral
Hrithik Roshan_3.jpg,Hrithik Roshan,neutral
Priyanka Chopra_88.jpg,Priyanka Chopra,happy
Zac Efron_57.jpg,Zac Efron,neutral
Priyanka Chopra_58.jpg,Priyanka Chopra,neutral
Natalie Portman_7.jpg,Natalie Portman,fear
Billie Eilish_56.jpg,Billie Eilish,happy
Ellen Degeneres_49.jpg,Ellen Degeneres,happy
Vijay Deverakonda_45.jpg,Vijay Deverakonda,neutral
Jessica Alba_7.jpg,Jessica Alba,happy
Amitabh Bachchan_32.jpg,Amitabh Bachchan,neutral
Brad Pitt_109.jpg,Brad Pitt,happy
Henry Cavill_58.jpg,Henry Cavill,sad
Jessica Alba_18.jpg,Jessica Alba,happy
Zac Efron_1.jpg,Zac Efron,happy
Andy Samberg_56.jpg,Andy Samberg,happy
Kashyap_16.jpg,Kashyap,sad
Camila Cabello_6.jpg,Camila Cabello,happy
Akshay Kumar_35.jpg,Akshay Kumar,happy
Claire Holt_67.jpg,Claire Holt,happy
Brad Pitt_111.jpg,Brad Pitt,happy
Priyanka Chopra_47.jpg,Priyanka Chopra,happy
Vijay Deverakonda_16.jpg,Vijay Deverakonda,happy
Camila Cabello_77.jpg,Camila Cabello,neutral
Henry Cavill_27.jpg,Henry Cavill,happy
Billie Eilish_45.jpg,Billie Eilish,fear
Alia Bhatt_22.jpg,Alia Bhatt,sad
Marmik_2.jpg,Marmik,happy
Hrithik Roshan_28.jpg,Hrithik Roshan,sad
Brad Pitt_5.jpg,Brad Pitt,happy
Brad Pitt_42.jpg,Brad Pitt,neutral
Brad Pitt_38.jpg,Brad Pitt,angry
Andy Samberg_42.jpg,Andy Samberg,happy
Natalie Portman_67.jpg,Natalie Portman,happy
Roger Federer_71.jpg,Roger Federer,angry
Elizabeth Olsen_3.jpg,Elizabeth Olsen,happy
Natalie Portman_71.jpg,Natalie Portman,happy
Jessica Alba_91.jpg,Jessica Alba,happy
Hrithik Roshan_69.jpg,Hrithik Roshan,neutral
Andy Samberg_61.jpg,Andy Samberg,neutral
Marmik_9.jpg,Marmik,fear
Alia Bhatt_69.jpg,Alia Bhatt,happy
Courtney Cox_79.jpg,Courtney Cox,happy
Natalie Portman_79.jpg,Natalie Portman,happy
Priyanka Chopra_26.jpg,Priyanka Chopra,neutral
Hrithik Roshan_78.jpg,Hrithik Roshan,happy
Priyanka Chopra_57.jpg,Priyanka Chopra,happy
Brad Pitt_1.jpg,Brad Pitt,happy
Zac Efron_3.jpg,Zac Efron,happy
Elizabeth Olsen_37.jpg,Elizabeth Olsen,happy
Priyanka Chopra_82.jpg,Priyanka Chopra,happy
Jessica Alba_65.jpg,Jessica Alba,happy
Margot Robbie_63.jpg,Margot Robbie,happy
Lisa Kudrow_39.jpg,Lisa Kudrow,happy
Priyanka Chopra_54.jpg,Priyanka Chopra,happy
Alia Bhatt_60.jpg,Alia Bhatt,happy
Amitabh Bachchan_16.jpg,Amitabh Bachchan,happy
Charlize Theron_56.jpg,Charlize Theron,neutral
Billie Eilish_16.jpg,Billie Eilish,sad
Roger Federer_7.jpg,Roger Federer,angry
Hrithik Roshan_23.jpg,Hrithik Roshan,neutral
Zac Efron_42.jpg,Zac Efron,neutral
Hugh Jackman_54.jpg,Hugh Jackman,sad
Andy Samberg_27.jpg,Andy Samberg,happy
Kashyap_21.jpg,Kashyap,happy
Roger Federer_49.jpg,Roger Federer,neutral
Vijay Deverakonda_35.jpg,Vijay Deverakonda,fear
Alexandra Daddario_26.jpg,Alexandra Daddario,neutral
Hrithik Roshan_57.jpg,Hrithik Roshan,happy
Dwayne Johnson_41.jpg,Dwayne Johnson,happy
Alexandra Daddario_86.jpg,Alexandra Daddario,neutral
Charlize Theron_62.jpg,Charlize Theron,neutral
Courtney Cox_69.jpg,Courtney Cox,happy
Hugh Jackman_11.jpg,Hugh Jackman,happy
Dwayne Johnson_36.jpg,Dwayne Johnson,happy
Henry Cavill_41.jpg,Henry Cavill,happy
Amitabh Bachchan_18.jpg,Amitabh Bachchan,neutral
Billie Eilish_66.jpg,Billie Eilish,sad
Lisa Kudrow_37.jpg,Lisa Kudrow,happy
Camila Cabello_14.jpg,Camila Cabello,happy
Jessica Alba_66.jpg,Jessica Alba,happy
Henry Cavill_68.jpg,Henry Cavill,happy
Dwayne Johnson_48.jpg,Dwayne Johnson,neutral
Vijay Deverakonda_26.jpg,Vijay Deverakonda,fear
Billie Eilish_36.jpg,Billie Eilish,neutral
Billie Eilish_33.jpg,Billie Eilish,angry
Lisa Kudrow_48.jpg,Lisa Kudrow,happy
Henry Cavill_55.jpg,Henry Cavill,sad
Amitabh Bachchan_61.jpg,Amitabh Bachchan,angry
Billie Eilish_69.jpg,Billie Eilish,happy
Zac Efron_90.jpg,Zac Efron,happy
Billie Eilish_30.jpg,Billie Eilish,neutral
Hugh Jackman_64.jpg,Hugh Jackman,happy
Ellen Degeneres_65.jpg,Ellen Degeneres,happy
Henry Cavill_104.jpg,Henry Cavill,happy
Andy Samberg_33.jpg,Andy Samberg,happy
Roger Federer_61.jpg,Roger Federer,neutral
Brad Pitt_110.jpg,Brad Pitt,neutral
Billie Eilish_74.jpg,Billie Eilish,neutral
Charlize Theron_35.jpg,Charlize Theron,neutral
Jessica Alba_49.jpg,Jessica Alba,happy
Amitabh Bachchan_41.jpg,Amitabh Bachchan,neutral
Anushka Sharma_28.jpg,Anushka Sharma,happy
Vijay Deverakonda_112.jpg,Vijay Deverakonda,happy
Anushka Sharma_57.jpg,Anushka Sharma,happy
Alexandra Daddario_32.jpg,Alexandra Daddario,neutral
Jessica Alba_4.jpg,Jessica Alba,neutral
Marmik_22.jpg,Marmik,sad
Dwayne Johnson_26.jpg,Dwayne Johnson,sad
Elizabeth Olsen_26.jpg,Elizabeth Olsen,happy
Elizabeth Olsen_22.jpg,Elizabeth Olsen,neutral
Elizabeth Olsen_31.jpg,Elizabeth Olsen,neutral
Hrithik Roshan_38.jpg,Hrithik Roshan,sad
Billie Eilish_37.jpg,Billie Eilish,happy
Zac Efron_89.jpg,Zac Efron,happy
Alia Bhatt_15.jpg,Alia Bhatt,neutral
Henry Cavill_34.jpg,Henry Cavill,neutral
Brad Pitt_49.jpg,Brad Pitt,happy
Hugh Jackman_92.jpg,Hugh Jackman,happy
Ellen Degeneres_61.jpg,Ellen Degeneres,happy
Lisa Kudrow_19.jpg,Lisa Kudrow,happy
Brad Pitt_79.jpg,Brad Pitt,neutral
Brad Pitt_51.jpg,Brad Pitt,happy
Brad Pitt_35.jpg,Brad Pitt,happy
Vijay Deverakonda_88.jpg,Vijay Deverakonda,happy
Anushka Sharma_55.jpg,Anushka Sharma,neutral
Billie Eilish_10.jpg,Billie Eilish,neutral
Alia Bhatt_28.jpg,Alia Bhatt,happy
Anushka Sharma_22.jpg,Anushka Sharma,neutral
Henry Cavill_66.jpg,Henry Cavill,happy
Billie Eilish_77.jpg,Billie Eilish,angry
Hugh Jackman_19.jpg,Hugh Jackman,happy
Alia Bhatt_30.jpg,Alia Bhatt,happy
Claire Holt_8.jpg,Claire Holt,neutral
Vijay Deverakonda_67.jpg,Vijay Deverakonda,happy
Henry Cavill_48.jpg,Henry Cavill,neutral
Hrithik Roshan_83.jpg,Hrithik Roshan,happy
Akshay Kumar_9.jpg,Akshay Kumar,happy
Alexandra Daddario_24.jpg,Alexandra Daddario,neutral
Robert Downey Jr_84.jpg,Robert Downey Jr,angry
Vijay Deverakonda_62.jpg,Vijay Deverakonda,happy
Vijay Deverakonda_61.jpg,Vijay Deverakonda,neutral
Akshay Kumar_8.jpg,Akshay Kumar,angry
Charlize Theron_46.jpg,Charlize Theron,happy
Priyanka Chopra_48.jpg,Priyanka Chopra,neutral
Hugh Jackman_104.jpg,Hugh Jackman,happy
Elizabeth Olsen_17.jpg,Elizabeth Olsen,happy
Alexandra Daddario_76.jpg,Alexandra Daddario,neutral
Hugh Jackman_45.jpg,Hugh Jackman,neutral
Claire Holt_65.jpg,Claire Holt,neutral
Billie Eilish_23.jpg,Billie Eilish,neutral
Lisa Kudrow_23.jpg,Lisa Kudrow,happy
Natalie Portman_97.jpg,Natalie Portman,neutral
Charlize Theron_64.jpg,Charlize Theron,sad
Akshay Kumar_31.jpg,Akshay Kumar,angry
Virat Kohli_32.jpg,Virat Kohli,angry
Jessica Alba_36.jpg,Jessica Alba,neutral
Claire Holt_26.jpg,Claire Holt,angry
Lisa Kudrow_14.jpg,Lisa Kudrow,fear
Kashyap_17.jpg,Kashyap,happy
Robert Downey Jr_1.jpg,Robert Downey Jr,happy
Claire Holt_25.jpg,Claire Holt,neutral
Kashyap_28.jpg,Kashyap,happy
Virat Kohli_8.jpg,Virat Kohli,neutral
Priyanka Chopra_17.jpg,Priyanka Chopra,neutral
Andy Samberg_69.jpg,Andy Samberg,neutral
Elizabeth Olsen_62.jpg,Elizabeth Olsen,happy
Henry Cavill_10.jpg,Henry Cavill,neutral
Natalie Portman_72.jpg,Natalie Portman,happy
Robert Downey Jr_91.jpg,Robert Downey Jr,neutral
Camila Cabello_4.jpg,Camila Cabello,sad
Roger Federer_74.jpg,Roger Federer,happy
